title,category,domain,description,more_info,recommended_action,link,apis
S3 Versioned Buckets Lifecycle Configuration,S3,Storage,Ensure that S3 buckets having versioning enabled also have liecycle policy configured for non-current objects.,"When object versioning is enabled on a bucket, every modification/update to an object results in a new version of the object that will be stored indefinitely. '",Configure lifecycle rules for buckets which have versioning enabled,https://docs.aws.amazon.com/AmazonS3/latest/dev/how-to-set-lifecycle-configuration-intro.html,"'S3:listBuckets', 'S3:getBucketVersioning', 'S3:getBucketLocation', 'S3:getBucketLifecycleConfiguration'"
S3 Bucket Enforce Object Encryption,S3,Storage,Ensures S3 bucket policies do not allow uploads of unencrypted objects,S3 bucket policies can be configured to block uploads of objects that are not encrypted.,Set the S3 bucket policy to deny uploads of unencrypted objects.,https://aws.amazon.com/blogs/security/how-to-prevent-uploads-of-unencrypted-objects-to-amazon-s3/,"'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketLocation'"
S3 Bucket Logging,S3,Storage,Ensures S3 bucket logging is enabled for S3 buckets,S3 bucket logging helps maintain an audit trail of,Enable bucket logging for each S3 bucket.,http://docs.aws.amazon.com/AmazonS3/latest/dev/Logging.html,"'S3:listBuckets', 'S3:getBucketLogging', 'S3:getBucketLocation'"
S3 Bucket All Users Policy,S3,Storage,"Ensures S3 bucket policies do not allow global write, delete, or read permissions",S3 buckets can be configured to allow the global principal to access the bucket via the bucket policy. This policy should be restricted only to known users or accounts.,Remove wildcard principals from the bucket policy statements.,https://docs.aws.amazon.com/AmazonS3/latest/dev/using-iam-policies.html,"'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketLocation'"
S3 DNS Compliant Bucket Names,S3,Storage,Ensures that S3 buckets have DNS complaint bucket names.,"S3 bucket names must be DNS-compliant and not contain period ""."" to enable S3 Transfer Acceleration and to use buckets over SSL.","Recreate S3 bucket to use ""-"" instead of ""."" in S3 bucket names.",https://docs.aws.amazon.com/AmazonS3/latest/dev/transfer-acceleration.html,"'S3:listBuckets', 'S3:getBucketLocation'"
S3 Bucket Versioning,S3,Storage,Ensures object versioning is enabled on S3 buckets,Object versioning can help protect against the overwriting of,Enable object versioning for buckets with,http://docs.aws.amazon.com/AmazonS3/latest/dev/Versioning.html,"'S3:listBuckets', 'S3:getBucketVersioning', 'S3:getBucketLocation'"
EMR Cluster Logging,EMR,Compute,Ensure AWS Elastic MapReduce (EMR) clusters capture detailed log data to Amazon S3.,EMR cluster logging should be enabled to save log files for troubleshooting purposes.,Modify EMR clusters to enable cluster logging,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-plan-debugging.html,"'EMR:listClusters', 'EMR:describeCluster'"
EMR Instances Counts,EMR,Compute,Ensure that the number of EMR cluster instances provisioned in your AWS account has not reached the desired threshold established by your organization.,Setting threshold for the number of EMR cluster instances provisioned within your AWS account will help to manage EMR compute resources and',"Ensure that the number of running EMR cluster instances matches the expected count. If instances are launched above the threshold, investigate to ensure they are legitimate.",https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-manage-view-clusters.html,"'EMR:listClusters', 'EMR:listInstanceGroups'"
EMR Cluster Desired Instance Type,EMR,Compute,Ensure AWS Elastic MapReduce (EMR) clusters are using desired instance type.,EMR cluster desired instance should be enabled  to get the desired instance type.,Modify EMR clusters to enable cluster logging,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-plan-debugging.html,"'EMR:listClusters', 'EMR:listInstanceGroups'"
EMR Encryption In Transit,EMR,Compute,Ensures encryption in transit is enabled for EMR clusters,EMR clusters should be configured to enable encryption in transit.,Update security configuration associated with EMR cluster to enable encryption in transit.,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-data-encryption-options.html,"'EMR:listClusters', 'EMR:describeCluster', 'EMR:describeSecurityConfiguration'"
EMR Cluster In VPC,EMR,Compute,Ensure that your Amazon Elastic MapReduce (EMR) clusters are provisioned using the AWS VPC platform instead of EC2-Classic platform.,"AWS EMR clusters using VPC platform instead of EC2-Classic can bring multiple advantages such as better networking infrastructure, much more flexible control over access security .",EMR clusters Available in VPC,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-vpc-launching-job-flows.htmll,"'EC2:describeAccountAttributes','EMR:listClusters', 'EMR:describeCluster'"
EMR Encryption At Rest,EMR,Compute,Ensures encryption at rest for local disks is enabled for EMR clusters,EMR clusters should be configured to enable encryption at rest for local disks.,Update security configuration associated with EMR cluster to enable encryption at rest for local disks.,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-data-encryption-options.html,"'EMR:listClusters', 'EMR:describeCluster', 'EMR:describeSecurityConfiguration'"
AWS Services In Use,ConfigService,Management and Governance,Ensures that only permitted services are being used in you AWS cloud account.,Use only permitted AWS services in your cloud account in order to meet security and compliance requirements within your organization.,Delete resources from unpermitted services within your AWS cloud account.,https://docs.aws.amazon.com/config/latest/developerguide/how-does-config-work.html,"'ConfigService:describeConfigurationRecorderStatus', 'ConfigService:getDiscoveredResourceCounts'"
Config Delivery Failing,ConfigService,Management and Governance,Ensure that the AWS Config log files are delivered to the S3 bucket in order to store logging data for auditing purposes without any failures.,Amazon Config keep record of the changes within the configuration of your AWS resources and it regularly stores this data to log files that are send to an S3 bucket specified by you.,Configure AWS Config log files to be delivered without any failures to designated S3 bucket.,https://docs.aws.amazon.com/config/latest/developerguide/select-resources.html,'ConfigService:describeConfigurationRecorderStatus'
Config Service Missing Bucket,ConfigService,Management and Governance,Ensure that Amazon Config service is pointing an S3 bucket that is active in your account in order to save configuration information,Amazon Config tracks changes within the configuration of your AWS resources and it regularly sends updated configuration details to an S3 bucket that you specify. ,Ensure that Amazon Config service is referencing an active S3 bucket in order to save configuration information.,https://docs.aws.amazon.com/config/latest/developerguide/s3-bucket-policy.html,"'S3:listBuckets', 'ConfigService:describeDeliveryChannels', 'S3:headBucket'"
Config Service Enabled,ConfigService,Management and Governance,Ensures the AWS Config Service is enabled to detect changes to account resources,The AWS Config Service tracks changes to a number of resources in an AWS account and is invaluable in determining how account changes affect other resources and in recovery in the event of an account intrusion or accidental configuration change.,Enable the AWS Config Service for all regions and resources in an account. Ensure that it is properly recording and delivering logs.,https://aws.amazon.com/config/details/,"'ConfigService:describeConfigurationRecorders', 'ConfigService:describeConfigurationRecorderStatus'"
AWS Config Complaint Rules,ConfigService,Management and Governance,Ensures that all the evaluation results returned from the Amazon Config rules created within your AWS account are compliant.,"AWS Config provides AWS managed rules, which are predefined customizable rules that AWS Config uses to evaluate whether your AWS resources comply with common best practices.",Enable the AWS Config Service rules for compliance checks and close security gaps.,https://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_develop-rules.html,"'ConfigService:describeConfigRules', 'ConfigService:getComplianceDetailsByConfigRule'"
DocumentDB Cluster Encrypted,DocumentDB,Databases,Ensure that data at-rest in encrypted in AWS DocumentDB clusters using desired encryption level.,Amazon DocumentDB integrates with AWS KMS and uses a method known as envelope encryption to protect your data. ',Modify DocumentDB cluster at-rest encryption configuration to use desired encryption key,https://docs.aws.amazon.com/documentdb/latest/developerguide/encryption-at-rest.html,"'DocDB:describeDBClusters', 'KMS:listKeys', 'KMS:describeKey'"
DocumentDB Cluster Backup Retention,DocumentDB,Databases,Ensure that your Amazon DocumentDB clusters have set a minimum backup retention period.,DocumentDB cluster provides feature to retain incremental backups between 1 and 35 allowing you to quickly restore to any point within the backup retention period. Ensure that you have sufficient backup retention period configured in order to restore your data in the event of failure.,Modify DocumentDb cluster to configure sufficient backup retention period.,https://docs.aws.amazon.com/documentdb/latest/developerguide/db-cluster-modify.html,'DocDB:describeDBClusters'
SNS Topic CMK Encryption,SNS,Application Integration,Ensures Amazon SNS topics are encrypted with KMS Customer Master Keys (CMKs).,AWS SNS topics should be  encrypted with KMS Customer Master Keys (CMKs) instead of AWS managed-keys',Update SNS topics to use Customer Master Keys (CMKs) for Server-Side Encryption.,https://docs.aws.amazon.com/sns/latest/dg/sns-server-side-encryption.html,"'SNS:listTopics', 'SNS:getTopicAttributes'"
SNS Valid Subscribers,SNS,Application Integration,Ensure that Amazon SNS subscriptions are valid and there are no unwanted subscribers.,Amazon Simple Notification Service (Amazon SNS) is a managed service that provides message delivery from publishers to subscribers. So check for appropriate subsribers in order to improve access security to your SNS topics. ,Check for unwanted SNS subscriptions periodically,https://docs.aws.amazon.com/sns/latest/dg/sns-create-subscribe-endpoint-to-topic.html,'SNS:listSubscriptions'
SNS Topic Policies,SNS,Application Integration,Ensures SNS topics do not allow global send or subscribe.,SNS policies should not be configured to allow any AWS user to subscribe or send messages. This could result in data leakage or financial DDoS.,Adjust the topic policy to only allow authorized AWS users in known accounts to subscribe.,http://docs.aws.amazon.com/sns/latest/dg/AccessPolicyLanguage.html,"'SNS:listTopics', 'SNS:getTopicAttributes', 'STS:getCallerIdentity'"
SNS Topic Encrypted,SNS,Application Integration,Ensures that Amazon SNS topics enforce Server-Side Encryption (SSE),SNS topics should enforce Server-Side Encryption (SSE) to secure data at rest. SSE protects the contents of messages in Amazon SNS topics using keys managed in AWS Key Management Service (AWS KMS).,Enable Server-Side Encryption to protect the content of SNS topic messages.,https://docs.aws.amazon.com/sns/latest/dg/sns-server-side-encryption.html,"'SNS:listTopics', 'SNS:getTopicAttributes', 'KMS:listKeys', 'KMS:describeKey'"
SNS Cross Account Access,SNS,Application Integration,Ensures SNS policies disallow cross-account access,SNS topic policies should be carefully restricted to to subscribe or send messages. Topic policies can be used to limit these privileges.,Update the SNS policy to prevent access from external accounts.,https://docs.aws.amazon.com/sns/latest/dg/sns-using-identity-based-policies.html,"'SNS:listTopics', 'SNS:getTopicAttributes', 'STS:getCallerIdentity', 'Organizations:listAccounts'"
Audio Logs Encrypted,Lex,Content Delivery,Ensure that Amazon Lex audio logs are encrypted using desired KMS encryption level,For audio logs you use default encryption on your S3 bucket or specify an AWS KMS key to encrypt your audio objects. Even if your S3 bucket uses default encryption you can still specify a different AWS KMS key to encrypt your audio objects for enhanced security.,Encrypt Lex audio logs with customer-manager keys (CMKs) present in your account,https://docs.aws.amazon.com/lex/latest/dg/conversation-logs-encrypting.html,"'LexModelsV2:listBots', 'LexModelsV2:listBotAliases', 'LexModelsV2:describeBotAlias"
Environment Template Encrypted,Proton,Databases,Ensure that AWS Proton environment template is encrypted with desired level.,AWS Proton encrypts sensitive data in your template bundles at rest in the S3 bucket where you store your template bundles using AWS-managed keys. Use customer-managed keys (CMKs) in order to meet regulatory compliance requirements within your organization.,Create Proton environment template with customer-manager keys (CMKs),https://docs.aws.amazon.com/proton/latest/adminguide/data-protection.html,"'Proton:listEnvironmentTemplates','Proton:getEnvironmentTemplate', 'KMS:describeKey', 'KMS:listKeys'"
MemoryDB Cluster Encrypted,MemoryDB,Databases,Ensure that your Amazon MemoryDB cluster is encrypted with desired encryption level.,"To help keep your data secure, MemoryDB at-rest encryption is always enabled to increase data security by encrypting persistent data using AWS-managed KMS keys. '",Modify MemoryDB cluster encryption configuration to use desired encryption key,https://docs.aws.amazon.com/memorydb/latest/devguide/at-rest-encryption.html,"'MemoryDB:describeClusters', 'KMS:listKeys', 'KMS:describeKey'"
Translate Job Output Encrypted,Translate,Compute,Ensure that your Amazon Translate jobs have CMK encryption enabled for output data residing on S3.,Amazon Translate encrypts your output data with AWS-manager keys by default. ',Create Translate jobs with customer-manager keys (CMKs).,https://docs.aws.amazon.com/translate/latest/dg/encryption-at-rest.html,"'Translate:listTextTranslationJobs', 'KMS:listKeys', 'KMS:describeKey', 'STS:getCallerIdentity'"
CloudFront Logging Enabled,CloudFront,Content Delivery,Ensures CloudFront distributions have request logging enabled.,Logging requests to CloudFront ',Enable CloudFront request logging.,http://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html,"'CloudFront:listDistributions', 'CloudFront:getDistribution'"
